temperature,ang_rate_x,ang_rate_y,ang_rate_z,temperature_1,ang_rate_x_1,ang_rate_y_1,ang_rate_z_1
5168, 44, -150, 49, 4960, -236, -143, -48
5232, 47, -183, 40, 5024, -253, -121, -65
5232, 67, -175, 53, 4880, -235, -120, -56
5168, 71, -179, 54, 4960, -215, -118, -66
5184, 69, -168, 45, 4896, -244, -130, -73
5200, 55, -156, 48, 4896, -217, -147, -59
5104, 53, -170, 38, 4992, -226, -136, -78
5136, 61, -166, 48, 4992, -248, -115, -30
5120, 49, -201, 27, 5008, -235, -101, -82
5200, 51, -177, 39, 4896, -230, -133, -50
5184, 55, -177, 56, 4944, -240, -132, -53
5200, 61, -194, 47, 4896, -249, -114, -54
5120, 53, -169, 46, 4960, -222, -140, -67
5136, 32, -178, 38, 4880, -239, -171, -68
5184, 55, -186, 43, 4960, -235, -136, -63
5200, 67, -199, 59, 4992, -208, -117, -55
5168, 45, -183, 42, 5008, -247, -138, -49
5168, 58, -177, 63, 4928, -240, -143, -69
5184, 73, -165, 35, 5008, -245, -137, -73
5120, 39, -178, 53, 4928, -247, -146, -50
5136, 62, -177, 55, 4992, -242, -158, -69
5184, 45, -171, 61, 4896, -218, -139, -68
5168, 47, -196, 56, 4992, -245, -125, -47
5184, 54, -191, 62, 4992, -234, -140, -59
5136, 81, -170, 63, 4880, -232, -150, -48
5280, 32, -177, 40, 4992, -215, -113, -63
5200, 37, -180, 75, 4928, -209, -144, -53
5168, 28, -172, 69, 4960, -242, -126, -19
5232, 121, -155, 1136, 5008, -184, -83, 1206
5200, 27, -163, 1576, 4880, -242, -142, 1378
5168, -17, -175, 981, 4960, -224, -117, 776
5056, 78, -241, 269, 5056, -185, -103, 68
5184, 82, -197, 140, 4928, -243, -136, 21
5136, 51, -178, 91, 4880, -247, -134, -32
5200, 47, -159, 69, 4928, -259, -154, -52
5184, 78, -182, 45, 4960, -200, -96, -65
5232, 76, -197, 83, 4960, -243, -100, -42
5184, 77, -181, 134, 4928, -223, -117, 26
5184, 88, -165, 144, 4896, -238, -95, 42
5184, 36, -149, 117, 4928, -226, -161, 23
5200, 81, -176, 79, 4960, -211, -113, -28
5248, 42, -178, 66, 4832, -222, -133, -4
5184, 62, -230, 147, 4880, -189, -78, 42
5200, 234, -374, 253, 4960, -13, 84, 149
5168, 429, -553, 348, 4896, 177, 225, 258
5184, 558, -719, 474, 4880, 274, 382, 391
5232, -63, -283, 392, 4928, -229, -50, 265
5200, 121, -295, 480, 4944, -105, -54, 411
5200, 57, -235, 565, 4896, -208, -117, 447
5248, 39, -254, 606, 4944, -171, -103, 502
5232, 106, -246, 660, 4928, -172, -117, 554
5200, 59, -249, 677, 5056, -164, -78, 551
5184, 64, -239, 691, 4960, -168, -102, 594
5168, 52, -258, 737, 4944, -151, -88, 642
5184, 81, -269, 748, 4992, -121, -91, 627
5168, 65, -237, 766, 4944, -181, -70, 707
5168, 99, -273, 857, 5008, -170, -101, 747
5232, 70, -275, 882, 4960, -155, -94, 766
5168, 131, -191, 864, 5056, -239, 19, 809
5168, 431, -150, 935, 5008, -282, 312, 827
5168, 724, -115, 983, 4880, -294, 603, 862
5120, 955, -147, 1018, 4992, -274, 831, 912
5136, 1240, -108, 1049, 4928, -264, 1100, 954
5232, 1528, -138, 1050, 4896, -270, 1410, 979
5280, 1806, -190, 1144, 4896, -219, 1679, 1087
5232, 1990, -180, 1218, 4944, -222, 1864, 1121
5168, 2139, -182, 1095, 4880, -227, 1967, 982
5200, 2379, -150, 940, 4960, -249, 2204, 822
5232, 2597, -130, 960, 4848, -255, 2453, 872
5184, 2861, -186, 1020, 4992, -183, 2715, 928
5120, 3157, -382, 1110, 4832, 85, 3008, 1057
5200, 3416, -728, 1172, 4928, 346, 3235, 1082
5184, 3518, -961, 1145, 4944, 607, 3355, 1037
5184, 3622, -1091, 1158, 5008, 739, 3453, 1045
5184, 3657, -1292, 1079, 5008, 918, 3471, 979
5120, 3710, -1342, 950, 4928, 927, 3506, 841
5168, 3796, -1212, 901, 4928, 796, 3611, 795
5200, 3920, -974, 852, 5024, 535, 3785, 733
