temperature,ang_rate_x,ang_rate_y,ang_rate_z,temperature_1,ang_rate_x_1,ang_rate_y_1,ang_rate_z_1
5136, 62, -163, 43, 4928, -229, -100, -60
5248, 61, -163, 51, 4944, -230, -120, -65
5200, 51, -182, 43, 4944, -219, -126, -47
5248, 54, -182, 58, 4944, -227, -148, -65
5200, 46, -174, 31, 4880, -226, -114, -62
5184, 44, -168, 55, 4832, -221, -118, -55
5232, 68, -166, 65, 4928, -227, -110, -54
5136, 71, -174, 27, 4944, -240, -111, -64
5200, 55, -166, 49, 4832, -230, -129, -54
5184, 72, -152, 53, 4944, -228, -133, -57
5280, 52, -163, 49, 4928, -231, -134, -67
5232, 64, -174, 44, 4896, -250, -107, -66
5184, 48, -164, 36, 4880, -244, -134, -69
5168, 47, -181, 47, 4928, -223, -132, -69
5184, 50, -171, 37, 4928, -235, -120, -57
5200, 63, -178, 50, 4960, -245, -115, -60
5232, 62, -168, 19, 4896, -241, -96, -63
5296, 43, -158, 36, 4960, -235, -104, -59
5232, 53, -164, 39, 4928, -242, -147, -60
5200, 61, -163, 42, 4832, -240, -122, -55
5280, 65, -159, 47, 4816, -234, -132, -51
5184, 73, -170, 37, 4928, -217, -96, -68
5232, 70, -163, 37, 4896, -229, -135, -62
5248, 49, -177, 36, 4896, -239, -118, -55
5184, 58, -165, 36, 4896, -247, -123, -61
5248, 65, -167, 47, 4880, -220, -120, -76
5136, 59, -158, 54, 4928, -231, -164, -58
5296, 49, -192, 45, 4944, -252, -117, -53
5184, 46, -162, 46, 4960, -225, -109, -40
5248, 63, -186, 42, 4848, -224, -116, -79
5136, 37, -180, 46, 5008, -254, -142, -80
5248, 62, -165, 49, 4896, -223, -148, -43
5232, 76, -178, 46, 4896, -222, -105, -53
5136, 58, -161, 34, 4832, -231, -107, -64
5248, 59, -168, 58, 4896, -225, -118, -55
5248, 67, -174, 40, 4928, -248, -122, -46
5232, 57, -191, 36, 4832, -228, -148, -87
5200, 68, -187, 43, 4896, -238, -134, -62
5248, 58, -172, 58, 4880, -223, -111, -49
5232, 61, -153, 47, 4896, -238, -143, -52
5232, 65, -178, 52, 4928, -229, -100, -62
5200, 57, -183, 48, 4960, -254, -124, -64
5280, 51, -178, 58, 4960, -241, -130, -50
5168, 65, -176, 50, 4816, -231, -100, -75
5184, 41, -169, 36, 4960, -251, -106, -59
5200, 68, -167, 54, 4896, -223, -111, -69
5168, 60, -171, 32, 4928, -222, -121, -74
5120, 57, -173, 30, 4992, -221, -126, -70
5232, 40, -179, 58, 4928, -215, -127, -62
5232, 64, -175, 51, 4880, -221, -140, -45
5200, 55, -173, 47, 4896, -257, -112, -57
5184, 43, -173, 51, 4928, -234, -145, -66
5184, 52, -166, 27, 4928, -254, -128, -55
5184, 45, -161, 27, 4896, -232, -116, -82
5136, 48, -172, 46, 4960, -236, -127, -76
5200, 74, -175, 58, 4928, -244, -123, -62
5056, 66, -160, 26, 4992, -225, -140, -72
5168, 48, -171, 51, 4928, -221, -147, -66
5280, 63, -168, 62, 4960, -237, -145, -51
5168, 61, -166, 39, 4944, -224, -126, -57
5136, 59, -172, 50, 4960, -223, -137, -64
5200, 59, -180, 78, 4896, -245, -91, -85
5200, 42, -172, 42, 4896, -224, -127, -85
