temperature,ang_rate_x,ang_rate_y,ang_rate_z,temperature_1,ang_rate_x_1,ang_rate_y_1,ang_rate_z_1
5008, 83, -187, 45, 4768, -244, -123, -80
4992, 86, -190, 54, 4816, -255, -148, -63
4992, 63, -196, 39, 4752, -247, -115, -69
5008, 80, -187, 44, 4784, -246, -130, -53
5056, 81, -183, 55, 4784, -221, -101, -73
5008, 91, -167, 47, 4752, -245, -129, -91
4992, 109, -187, 58, 4784, -236, -132, -58
5008, 81, -177, 65, 4880, -238, -127, -51
5056, 85, -170, 24, 4848, -265, -127, -54
5024, 93, -193, 38, 4816, -240, -138, -47
4960, 96, -165, 54, 4832, -256, -140, -76
5008, 90, -200, 53, 4816, -249, -113, -69
5056, 65, -164, 28, 4816, -230, -146, -74
4896, 75, -188, 30, 4816, -241, -125, -54
4928, 69, -189, 42, 4768, -256, -142, -68
5024, 86, -206, 68, 4832, -241, -130, -71
5008, 73, -160, 56, 4704, -235, -145, -91
4960, 64, -191, 54, 4768, -251, -137, -65
4960, 65, -189, 61, 4816, -231, -125, -82
4944, 71, -194, 66, 4784, -234, -134, -62
4960, 69, -175, 57, 4768, -229, -125, -77
5008, 53, -199, 50, 4768, -232, -104, -84
5072, 68, -173, 49, 4768, -227, -125, -63
5056, 106, -159, 32, 4832, -259, -97, -96
4960, 63, -186, 44, 4784, -247, -139, -58
4960, 105, -186, 46, 4784, -250, -112, -82
5008, 93, -174, 28, 4768, -243, -118, -77
5024, 72, -164, 47, 4784, -241, -123, -70
5024, 77, -168, 38, 4704, -260, -131, -62
5056, 81, -152, 57, 4784, -239, -127, -66
5008, 74, -171, 42, 4768, -256, -132, -48
5008, 75, -183, 59, 4784, -260, -130, -71
4928, 63, -178, 44, 4704, -256, -113, -69
5024, 77, -178, 30, 4768, -242, -145, -52
4960, 93, -190, 55, 4816, -249, -124, -65
5008, 88, -169, 63, 4896, -232, -120, -85
5008, 86, -193, 34, 4816, -230, -149, -78
4944, 74, -181, 54, 4784, -252, -137, -73
5008, 72, -206, 50, 4720, -256, -138, -89
5008, 62, -186, 40, 4768, -232, -120, -79
4992, 77, -196, 31, 4704, -234, -97, -65
4960, 69, -187, 41, 4832, -240, -135, -69
5008, 84, -179, 47, 4816, -240, -159, -88
4960, 91, -181, 52, 4784, -228, -155, -63
5024, 99, -157, 61, 4816, -263, -134, -79
5104, 73, -185, 42, 4848, -260, -102, -62
4960, 79, -187, 39, 4784, -219, -140, -69
5008, 80, -189, 49, 4848, -250, -147, -56
5008, 64, -198, 49, 4832, -234, -150, -54
4896, 74, -192, 41, 4768, -242, -107, -56
5008, 77, -192, 36, 4768, -252, -143, -69
4928, 67, -180, 52, 4784, -243, -125, -69
4896, 86, -177, 43, 4768, -255, -128, -61
5024, 74, -190, 38, 4784, -231, -144, -61
5008, 81, -182, 70, 4784, -223, -146, -57
5008, 73, -195, 47, 4880, -236, -148, -66
4944, 60, -182, 56, 4832, -245, -134, -61
5008, 61, -192, 37, 4768, -249, -127, -79
5024, 84, -175, 60, 4752, -245, -129, -80
4928, 74, -184, 54, 4816, -236, -132, -68
4992, 87, -185, 58, 4784, -236, -143, -72
5008, 71, -188, 38, 4768, -237, -142, -59
5056, 48, -174, 71, 4784, -245, -171, -68
5056, 48, -175, 54, 4832, -255, -139, -58
5024, 38, -168, 64, 4816, -269, -173, -71
4992, 31, -170, 46, 4784, -261, -141, -65
5008, 38, -203, 44, 4784, -228, -138, -80
5008, 52, -170, 55, 4848, -256, -134, -63
4960, 103, -224, 86, 4768, -228, -79, 14
5056, 19, -287, 743, 4768, -190, -97, 769
5024, 73, -172, 686, 4816, -217, -118, 414
5008, 30, -211, 264, 4768, -245, -180, 115
5056, -72, -172, 248, 4752, -268, -258, 170
5024, -57, -195, 428, 4720, -261, -190, 305
5008, 10, -165, 334, 4768, -247, -184, 217
4960, -16, -147, 349, 4752, -250, -214, 200
5008, -46, -155, 211, 4752, -245, -216, 82
5024, -24, -161, 171, 4784, -257, -188, 84
4992, -24, -190, 129, 4816, -269, -207, 21
4960, -56, -155, 116, 4880, -238, -212, -2
5008, -72, -156, 92, 4816, -282, -253, -16
5008, 87, 46, 98, 4784, -537, -113, -14
4944, 46, 568, 81, 4832, -1070, -120, -33
5008, 55, 1178, -2, 4768, -1717, -61, -152
5008, 118, 1957, -153, 4768, -2530, -37, -264
5008, 192, 2792, -299, 4768, -3312, -46, -507
5008, 146, 3498, -443, 4880, -3957, -32, -518
5072, 105, 3995, -527, 4768, -4501, -26, -620
5008, 93, 4349, -514, 4816, -4801, -57, -697
4960, 192, 4384, -606, 4832, -4868, 67, -684
5072, 181, 4392, -615, 4832, -4848, 71, -734
5008, 223, 4441, -803, 4832, -4873, 95, -936
4960, 254, 4612, -993, 4880, -5082, 92, -1190
5056, 259, 4894, -1121, 4816, -5388, 98, -1284
4992, 306, 5314, -1094, 4816, -5806, 147, -1235
5008, 326, 5607, -1189, 4816, -6082, 145, -1358
4960, 283, 5847, -1133, 4720, -6316, 113, -1264
5024, 261, 6000, -1006, 4768, -6415, 104, -1145
5056, 335, 5998, -916, 4720, -6437, 161, -1018
5024, 361, 6262, -887, 4816, -6744, 196, -1041
4992, 391, 6539, -1024, 4768, -7000, 195, -1163
5056, 341, 6697, -937, 4896, -7207, 190, -1061
4944, 326, 6824, -915, 4880, -7308, 148, -1066
4960, -154, 6773, -968, 4832, -7162, -373, -1157
4928, -776, 6406, -1105, 4720, -6771, -1007, -1247
5024, -1059, 6171, -1137, 4880, -6577, -1240, -1298
4960, -1108, 6023, -1342, 4784, -6440, -1230, -1504
4928, -998, 5893, -1487, 4752, -6368, -1120, -1662
4960, -690, 6119, -1584, 4768, -6602, -796, -1755
4992, -423, 6554, -1581, 4816, -6994, -572, -1728
4992, -395, 6558, -1468, 4784, -6931, -571, -1592
5008, -522, 6323, -1254, 4816, -6751, -702, -1364
